127.0.0.1 - - [28/Dec/2023:16:18:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:18:19 +0900] "GET /JSPBasic/request/post_ex02.jsp HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:18:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:18:30 +0900] "GET /JSPBasic/request/post_ex01.jsp HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:18:34 +0900] "POST /JSPBasic/request/post_ex02.jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:25:37 +0900] "GET /JSPBasic/request/quiz01.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:25:44 +0900] "GET /JSPBasic/request/quiz01.jsp HTTP/1.1" 200 1492
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:25:58 +0900] "GET /JSPBasic/request/quiz01_ok.jsp?id=asdas&pw=123123&birth=&age=&a1=on&b1=on&region=%EC%84%9C%EC%9A%B8%EC%8B%9C HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:29:43 +0900] "GET /JSPBasic/request/quiz01.jsp HTTP/1.1" 200 1493
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:29:55 +0900] "GET /JSPBasic/request/quiz01_ok.jsp?id=asdas&pw=123123&birth=2023-10-17&age=&a1=on&b1=on&region=%EC%84%9C%EC%9A%B8%EC%8B%9C HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:30:00 +0900] "GET /JSPBasic/request/quiz01_ok.jsp?id=asdas&pw=123123&birth=2023-10-17&age=&a1=on&b1=on&region=%EC%84%9C%EC%9A%B8%EC%8B%9C HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:30:01 +0900] "GET /JSPBasic/request/quiz01_ok.jsp?id=asdas&pw=123123&birth=2023-10-17&age=&a1=on&b1=on&region=%EC%84%9C%EC%9A%B8%EC%8B%9C HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:30:02 +0900] "GET /JSPBasic/request/quiz01_ok.jsp?id=asdas&pw=123123&birth=2023-10-17&age=&a1=on&b1=on&region=%EC%84%9C%EC%9A%B8%EC%8B%9C HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:30:03 +0900] "GET /JSPBasic/request/quiz01_ok.jsp?id=asdas&pw=123123&birth=2023-10-17&age=&a1=on&b1=on&region=%EC%84%9C%EC%9A%B8%EC%8B%9C HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:30:03 +0900] "GET /JSPBasic/request/quiz01_ok.jsp?id=asdas&pw=123123&birth=2023-10-17&age=&a1=on&b1=on&region=%EC%84%9C%EC%9A%B8%EC%8B%9C HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:30:04 +0900] "GET /JSPBasic/request/quiz01_ok.jsp?id=asdas&pw=123123&birth=2023-10-17&age=&a1=on&b1=on&region=%EC%84%9C%EC%9A%B8%EC%8B%9C HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:41:19 +0900] "GET /JSPBasic/request/quiz01.jsp HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:41:47 +0900] "GET /JSPBasic/request/quiz01_ok.jsp?id=%EC%9D%B4%EC%B0%B8%EB%B9%9B&pw=123123&birth=2023-09-28&age=25&a1=on&b1=on&region=%EC%84%9C%EC%9A%B8%EC%8B%9C&myText=%EC%95%88%EB%85%95%ED%95%98%EC%84%B8%EC%9A%94%0D%0A%0D%0A HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:47:25 +0900] "GET /JSPBasic/request/quiz01.jsp HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:47:29 +0900] "GET /JSPBasic/request/quiz01_ok.jsp?id=%EC%9D%B4%EC%B0%B8%EB%B9%9B&pw=&birth=&age=&region=%EC%84%9C%EC%9A%B8%EC%8B%9C&myText= HTTP/1.1" 500 2504
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:47:56 +0900] "GET /JSPBasic/request/quiz01.jsp HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:48:12 +0900] "GET /JSPBasic/request/quiz01_ok.jsp?id=%EC%9D%B4%EC%B0%B8%EB%B9%9B&pw=123123&birth=2023-12-19&age=24&a1=on&a1=on&b1=on&region=%EC%84%9C%EC%9A%B8%EC%8B%9C&myText=123sssasdasd HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:50:11 +0900] "GET /JSPBasic/request/quiz01.jsp HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:50:21 +0900] "GET /JSPBasic/request/quiz01_ok.jsp?id=%E3%85%81%E3%84%B4%E3%85%87%E3%85%81%E3%84%B4&pw=123123&birth=2023-12-20&age=&a1=%EC%B6%95%EA%B5%AC%ED%95%98%EA%B8%B0&a1=%EB%86%8D%EA%B5%AC%ED%95%98%EA%B8%B0&b1=%EC%A0%84%EA%B8%B0%EC%A0%84%EC%9E%90&region=%EC%84%9C%EC%9A%B8%EC%8B%9C&myText=123125215 HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:54:29 +0900] "GET /JSPBasic/request/quiz01.jsp HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:54:41 +0900] "GET /JSPBasic/request/quiz01_ok.jsp?id=asdas&pw=123123&birth=2023-12-06&age=22&a1=%EC%B6%95%EA%B5%AC%ED%95%98%EA%B8%B0&b1=%EC%8B%9C%EA%B0%81%EB%94%94%EC%9E%90%EC%9D%B8&region=%EC%84%9C%EC%9A%B8%EC%8B%9C&myText=123 HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:30:09 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:38:31 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:38:33 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:38:34 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:38:35 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:38:35 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:38:36 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:38:37 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:38:38 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:38:38 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:38:39 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:38:40 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:38:49 +0900] "POST /JSPBasic/request/quiz02_ok.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:39:29 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:40:00 +0900] "POST /JSPBasic/request/quiz02_ok.jsp HTTP/1.1" 500 2756
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:40:07 +0900] "POST /JSPBasic/request/quiz02_ok.jsp HTTP/1.1" 500 2756
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:40:38 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:40:48 +0900] "POST /JSPBasic/request/quiz02_ok.jsp HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:42:42 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:42:52 +0900] "POST /JSPBasic/request/quiz02_ok.jsp HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:45:08 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:45:19 +0900] "POST /JSPBasic/request/quiz02_ok.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:46:01 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:46:08 +0900] "POST /JSPBasic/request/quiz02_ok.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:47:28 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:47:37 +0900] "POST /JSPBasic/request/quiz02_ok.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:47:56 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:47:59 +0900] "POST /JSPBasic/request/quiz02_ok.jsp HTTP/1.1" 500 2697
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:48:08 +0900] "GET /JSPBasic/request/quiz02.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Dec/2023:17:48:17 +0900] "POST /JSPBasic/request/quiz02_ok.jsp HTTP/1.1" 200 267
